"filename", "language", "Dotenv", "JavaScript", "MS SQL", "Markdown", "Diff", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JSON", "XML", "Python", "comment", "blank", "total"
"e:\chat-app-test\.claude\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\chat-app-test\.env", "Dotenv", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\chat-app-test\AGENTS.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\chat-app-test\CLAUDE.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\README.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 57
"e:\chat-app-test\app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"e:\chat-app-test\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"e:\chat-app-test\app\chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 1, 9, 195
"e:\chat-app-test\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 1, 8, 164
"e:\chat-app-test\assets\expo.icon\Assets\expo-symbol 2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\chat-app-test\assets\expo.icon\icon.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"e:\chat-app-test\babel.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\chat-app-test\chat_diff.patch", "Diff", 0, 0, 0, 0, 607, 0, 0, 0, 0, 0, 0, 0, 6, 0, 613
"e:\chat-app-test\chat_settings.sql", "MS SQL", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\chat-app-test\convert.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 47
"e:\chat-app-test\convert.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 13, 49
"e:\chat-app-test\fix.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\chat-app-test\fixer.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"e:\chat-app-test\fixer2.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"e:\chat-app-test\fixer3.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 28
"e:\chat-app-test\metro.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 10
"e:\chat-app-test\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8391, 0, 0, 0, 1, 8392
"e:\chat-app-test\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
"e:\chat-app-test\public\sw.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"e:\chat-app-test\read_receipts.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\chat-app-test\replace.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\rewrite.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 128
"e:\chat-app-test\rls_fix.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\chat-app-test\rls_fix_chats.sql", "MS SQL", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\chat-app-test\scripts\reset-project.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 115
"e:\chat-app-test\src\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 76
"e:\chat-app-test\src\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 2, 32, 406
"e:\chat-app-test\src\app\(tabs)\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 2, 27, 220
"e:\chat-app-test\src\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"e:\chat-app-test\src\app\auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 15, 247
"e:\chat-app-test\src\app\chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 860, 0, 0, 0, 5, 77, 942
"e:\chat-app-test\src\components\ChatInfoModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 2, 13, 180
"e:\chat-app-test\src\components\ChatSettingsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 444, 0, 0, 0, 11, 39, 494
"e:\chat-app-test\src\components\DoodleOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 10, 83
"e:\chat-app-test\src\components\HeartPing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"e:\chat-app-test\src\components\StickerPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 2, 34, 288
"e:\chat-app-test\src\components\animated-icon.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\chat-app-test\src\components\animated-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 13, 149
"e:\chat-app-test\src\components\animated-icon.web.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 10, 109
